日期,開盤指數,最高指數,最低指數,收盤指數
2023-03-15,15425.99,15526.73,15387.59,15387.59
2023-03-16,15334.25,15334.25,15186.74,15221.12
2023-03-17,15337.97,15452.96,15337.97,15452.96
2023-03-20,15454.75,15488.98,15399.07,15419.97
2023-03-21,15437.95,15547.97,15437.95,15513.45
2023-03-22,15535.17,15760.46,15535.17,15760.46
2023-03-23,15711.6,15882.75,15680.84,15863.95
2023-03-24,15869.84,15921.97,15845.99,15914.7
2023-03-27,15873.67,15902.06,15821.63,15830.31
2023-04-06,15838.07,15838.07,15733.29,15810.77
2023-04-07,15856.19,15877.99,15811.19,15836.5
2023-04-10,15850.94,15919.76,15850.94,15876.17
2023-04-11,15886.46,15945.63,15838.1,15913.88
2023-04-12,15914.15,15944.32,15867.02,15932.97
2023-04-13,15888.63,15913.2,15800.42,15804.76
2023-04-14,15854.25,15973.82,15854.25,15929.43
2023-04-17,15934.64,15963.55,15894.77,15963.55
2023-04-18,15967.89,15967.89,15851.71,15869.44
2023-04-19,15874.65,15915.39,15756.75,15770.47
2023-04-20,15771.45,15804.38,15686.54,15707.52
2023-04-21,15776.54,15802.93,15592.96,15602.99
2023-04-24,15555.1,15643.86,15529.39,15626.87
2023-05-02,15588.68,15651.23,15532.63,15636.48
2023-05-03,15629.51,15629.51,15530.79,15553.41
2023-05-04,15548.02,15622.41,15523.5,15609.03
2023-05-05,15627.93,15673.62,15578.67,15626.07
2023-05-08,15648.54,15757.8,15648.54,15699.57
2023-05-09,15702.26,15744.27,15635.9,15727.7
2023-05-10,15708.48,15711.39,15579.49,15641.76
2023-05-11,15666.49,15675.37,15501.58,15514.64
2023-05-12,15477.12,15545.99,15424.42,15502.36
2023-05-15,15489.18,15510.09,15434.52,15475.05
2023-05-16,15550.57,15723.95,15550.57,15673.9
2023-05-17,15702.74,15961.97,15698.63,15925.29
2023-05-18,16060.26,16128.72,16015.62,16101.88
2023-05-19,16146.29,16189.81,16099.9,16174.92
2023-05-22,16168.74,16202.92,16131.55,16180.89
2023-05-23,16186.15,16239.5,16121.45,16188.03
2023-05-24,16186.62,16186.62,16070.16,16159.32
2023-05-25,16163.95,16323.77,16163.95,16292.0
2023-06-01,16511.0,16555.5,16477.43,16512.65
2023-06-02,16525.0,16752.2,16525.0,16706.91
2023-06-05,16714.48,16781.19,16703.6,16714.43
2023-06-06,16712.98,16793.81,16699.83,16761.66
2023-06-07,16771.76,16922.48,16771.76,16922.48
2023-06-08,16864.18,16899.51,16694.21,16733.69
2023-06-09,16775.92,16895.99,16775.92,16886.4
2023-06-12,16899.49,16999.72,16899.49,16955.37
2023-06-13,17135.84,17254.96,17129.23,17216.6
2023-06-14,17190.7,17259.23,17182.18,17238.14
2023-06-15,17259.37,17346.32,17259.37,17334.98
2023-06-16,17342.86,17342.86,17250.79,17288.91
2023-06-19,17274.07,17306.81,17210.87,17274.56
2023-06-20,17233.8,17247.16,17121.59,17184.91
2023-06-21,17186.72,17246.77,17131.45,17202.4
2023-06-26,17182.48,17182.48,17011.28,17059.24
2023-07-03,16946.71,17103.73,16946.71,17084.2
2023-07-04,17055.19,17154.1,17042.6,17140.77
2023-07-05,17130.26,17153.17,17020.01,17056.43
2023-07-06,17017.09,17017.09,16749.29,16762.17
2023-07-07,16736.94,16762.39,16593.84,16664.21
2023-07-10,16667.43,16798.81,16635.83,16652.8
2023-07-11,16675.69,16898.91,16675.69,16898.91
2023-07-12,16903.25,16962.03,16864.01,16962.03
2023-07-13,16994.59,17223.86,16994.59,17061.4
2023-07-14,17152.81,17287.4,17128.07,17283.71
2023-07-17,17279.11,17346.66,17235.92,17334.29
2023-07-18,17368.36,17401.59,17164.92,17227.91
2023-07-19,17265.38,17340.82,17082.54,17116.44
2023-07-20,17104.91,17214.41,17098.65,17164.89
2023-07-21,17106.29,17106.29,16859.13,17030.7
2023-07-24,17036.79,17098.73,16941.15,17033.61
2023-07-25,17061.88,17270.2,17061.88,17198.89
2023-08-01,17141.97,17252.32,17095.86,17212.87
2023-08-02,17207.22,17212.55,16844.57,16893.73
2023-08-04,16847.24,16887.38,16748.51,16843.68
2023-08-07,16870.81,17032.32,16868.74,16996.0
2023-08-08,17006.46,17043.56,16812.59,16877.07
2023-08-09,16836.64,16956.73,16798.5,16870.94
2023-08-10,16827.11,16827.11,16601.17,16634.7
2023-08-11,16644.65,16766.84,16601.25,16601.25
2023-08-14,16585.41,16585.41,16307.28,16393.66
2023-08-15,16438.63,16546.01,16437.63,16454.8
2023-08-16,16422.2,16446.78,16304.44,16446.78
2023-08-17,16411.63,16550.11,16264.65,16516.66
2023-08-18,16508.46,16583.95,16344.29,16381.31
2023-08-21,16414.14,16485.25,16347.77,16381.49
2023-08-22,16429.69,16535.07,16407.83,16437.61
